date,agency,subject,message
11/6/22 4:19 PM,NYC,"BKLYN, C Train, Delays",Northbound C trains are delayed while we request EMS assistance for a person in need and remove a train from service at Shepherd Av.
Menu,Menu,Menu,Menu
...41424344454647484950...  Page size:  select  3025 items in 61 pages,...41424344454647484950...  Page size:  select  3025 items in 61 pages,...41424344454647484950...  Page size:  select  3025 items in 61 pages,...41424344454647484950...  Page size:  select  3025 items in 61 pages
11/6/22 3:23 PM,NYC,"Update: QNS, E, F, and R Trains, Delays",Northbound E/F/R trains are running with delays after NYPD responded to a person being disruptive at Steinway St.
11/6/22 3:16 PM,NYC,"Update: QNS, E, F, and R Trains, Delays",Northbound E/F/R trains are delayed while we request NYPD assistance with a person being disruptive at Steinway St.
11/6/22 3:11 PM,NYC,"QNS, E, F, M, and R Trains, Delays",Jamaica-bound E/F and 71 Av-bound M/R trains are delayed while we request NYPD assistance with a person being disruptive at Steinway St.
11/6/22 1:16 PM,NYC,"Update: SIR Train, Delays",Tottenville-bound SIR trains are running with delays after scheduled maintenance was completed.
11/6/22 12:48 PM,NYC,"QNS, 7 Train, Delays",Flushing-bound 7 trains are running with delays after we moved a train that had its brakes activated at 74 St-Broadway.
11/6/22 11:56 AM,NYC,"Update: BKLYN, A and C Trains, Delays",A/C trains are running with delays in both directions after we restored third-rail power near Broadway Junction.
11/6/22 11:39 AM,NYC,"Update: BKLYN, A and C Trains, Delays",A/C trains are delayed in both directions while we investigate a loss of third-rail power near Broadway Junction.
11/6/22 11:33 AM,NYC,"BKLYN, A and C Trains, Delays",Northbound A/C trains are delayed while we investigate a loss of third-rail power near Broadway Junction.
11/6/22 11:22 AM,NYC,"Update: MANH, A and D Trains, Delays",Southbound A/D trains are running with delays after we addressed a door problem on a train at 125 St.
